country,year,fossil_fuel_consumption
Africa,1965,675.202
Africa,1966,704.27
Africa,1967,710.059
Africa,1968,744.596
Africa,1969,757.316
Africa,1970,811.332
Africa,1971,875.723
Africa,1972,919.611
Africa,1973,998.266
Africa,1974,1039.903
Africa,1975,1102.39
Africa,1976,1194.641
Africa,1977,1255.128
Africa,1978,1307.552
Africa,1979,1427.264
Africa,1980,1548.626
Africa,1981,1749.783
Africa,1982,1874.441
Africa,1983,1949.226
Africa,1984,2004.837
Africa,1985,2073.333
Africa,1986,2103.083
Africa,1987,2190.264
Africa,1988,2330.396
Africa,1989,2324.647
Africa,1990,2412.063
Africa,1991,2397.069
Africa,1992,2444.041
Africa,1993,2460.243
Africa,1994,2540.244
Africa,1995,2639.589
Africa,1996,2702.619
Africa,1997,2757.126
Africa,1998,2791.333
Africa,1999,2874.499
Africa,2000,2928.547
Africa,2001,3033.457
Africa,2002,3061.847
Africa,2003,3229.692
Africa,2004,3473.607
Africa,2005,3488.187
Africa,2006,3554.957
Africa,2007,3692.005
Africa,2008,3923.006
Africa,2009,3988.265
Africa,2010,4097.205
Africa,2011,4125.856
Africa,2012,4303.697
Africa,2013,4412.846
Africa,2014,4520.241
Africa,2015,4639.401
Africa,2016,4765.635
Africa,2017,4869.091
Africa,2018,4965.162
Africa,2019,5057.132
Africa,2020,4740.021
Africa,2021,5052.782
Africa,2022,5058.223
Algeria,1965,23.65
Algeria,1966,28.783
Algeria,1967,27.035
Algeria,1968,28.68
Algeria,1969,32.472
Algeria,1970,35.044
Algeria,1971,38.757
Algeria,1972,43.184
Algeria,1973,51.027
Algeria,1974,57.439
Algeria,1975,69.4
Algeria,1976,80.952
Algeria,1977,89.417
Algeria,1978,112.622
Algeria,1979,147.68
Algeria,1980,176.383
Algeria,1981,214.104
Algeria,1982,246.696
Algeria,1983,270.272
Algeria,1984,258.86
Algeria,1985,260.386
Algeria,1986,276.751
Algeria,1987,283.693
Algeria,1988,304.881
Algeria,1989,296.4
Algeria,1990,314.575
Algeria,1991,311.229
Algeria,1992,319.638
Algeria,1993,296.951
Algeria,1994,301.43
Algeria,1995,312.574
Algeria,1996,309.526
Algeria,1997,297.638
Algeria,1998,307.713
Algeria,1999,310.834
Algeria,2000,299.786
Algeria,2001,310.61
Algeria,2002,321.784
Algeria,2003,336.154
Algeria,2004,349.055
Algeria,2005,364.681
Algeria,2006,378.601
Algeria,2007,399.001
Algeria,2008,422.762
Algeria,2009,447.904
Algeria,2010,438.489
Algeria,2011,463.396
Algeria,2012,506.532
Algeria,2013,536.629
Algeria,2014,584.925
Algeria,2015,616.92
Algeria,2016,616.096
Algeria,2017,622.254
Algeria,2018,667.688
Algeria,2019,692.301
Algeria,2020,646.949
Algeria,2021,701.279
Algeria,2022,682.865
Argentina,1965,324.905
Argentina,1966,335.505
Argentina,1967,345.275
Argentina,1968,356.416
Argentina,1969,368.939
Argentina,1970,348.703
Argentina,1971,369.981
Argentina,1972,374.762
Argentina,1973,387.403
Argentina,1974,394.374
Argentina,1975,379.864
Argentina,1976,400.392
Argentina,1977,419.557
Argentina,1978,410.799
Argentina,1979,435.202
Argentina,1980,420.292
Argentina,1981,406.272
Argentina,1982,408.82
Argentina,1983,421.144
Argentina,1984,415.029
Argentina,1985,403.804
Argentina,1986,430.098
Argentina,1987,448.359
Argentina,1988,478.772
Argentina,1989,467.809
Argentina,1990,439.559
Argentina,1991,451.996
Argentina,1992,482.131
Argentina,1993,485.263
Argentina,1994,504.392
Argentina,1995,529.436
Argentina,1996,568.775
Argentina,1997,558.979
Argentina,1998,588.233
Argentina,1999,611.693
Argentina,2000,595.418
Argentina,2001,553.856
Argentina,2002,531.831
Argentina,2003,579.387
Argentina,2004,632.297
Argentina,2005,670.516
Argentina,2006,697.754
Argentina,2007,754.091
Argentina,2008,765.599
Argentina,2009,730.004
Argentina,2010,761.782
Argentina,2011,792.928
Argentina,2012,830.823
Argentina,2013,857.796
Argentina,2014,857.357
Argentina,2015,870.15
Argentina,2016,870.194
Argentina,2017,867.003
Argentina,2018,855.356
Argentina,2019,795.546
Argentina,2020,737.523
Argentina,2021,831.493
Argentina,2022,854.012
Asia,1965,4932.085
Asia,1966,5368.893
Asia,1967,5672.694
Asia,1968,6107.931
Asia,1969,6985.958
Asia,1970,7955.136
Asia,1971,8727.715
Asia,1972,9286.971
Asia,1973,10144.659
Asia,1974,10292.33
Asia,1975,10630.164
Asia,1976,11241.317
Asia,1977,12062.631
Asia,1978,12835.682
Asia,1979,13506.05
Asia,1980,13440.79
Asia,1981,13581.037
Asia,1982,13843.374
Asia,1983,14549.195
Asia,1984,15719.047
Asia,1985,18350.271
Asia,1986,19139.432
Asia,1987,20170.758
Asia,1988,21590.461
Asia,1989,22651.953
Asia,1990,23514.73
Asia,1991,24451.484
Asia,1992,25606.646
Asia,1993,26537.854
Asia,1994,27968.141
Asia,1995,29074.594
Asia,1996,30419.504
Asia,1997,31306.143
Asia,1998,31205.275
Asia,1999,32327.547
Asia,2000,33615.695
Asia,2001,34743.707
Asia,2002,36539.996
Asia,2003,39765.371
Asia,2004,43381.961
Asia,2005,46798.922
Asia,2006,49443.902
Asia,2007,52644.973
Asia,2008,54172.832
Asia,2009,55388.23
Asia,2010,58715.59
Asia,2011,62145.484
Asia,2012,64340.32
Asia,2013,65665.648
Asia,2014,67035.43
